ID,DateTime,UserID,Controller,Action,Method,ActionParameters
636941,2020-03-12 14:17:54.543,5,Role,Update,POST,"{""id"":7,""model"":{""Role"":{""ID"":7,""Name"":""LUMC Beheer Basistijdlijn""},""Rights"":[{""ID"":1,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":2,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":3,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":4,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":5,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":6,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":7,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":8,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
636952,2020-03-12 14:18:07.867,5,Organization,Index,GET,{}
636953,2020-03-12 14:18:07.867,5,Group,Index,GET,{}
636954,2020-03-12 14:18:07.950,5,User,Index,GET,{}
636955,2020-03-12 14:18:07.963,5,Role,Index,GET,{}
636958,2020-03-12 14:28:42.573,5,Login,AuthCheck,GET,{}
636959,2020-03-12 14:28:42.800,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636960,2020-03-12 14:28:44.580,5,Settings,GetVirtualAssistantSettings,GET,{}
636961,2020-03-12 14:28:44.610,5,Application,Index,GET,"{""onlyAutomaticInvites"":null}"
636962,2020-03-12 14:28:44.673,5,Contentprofile,Index,GET,{}
636963,2020-03-12 14:28:44.690,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636964,2020-03-12 14:28:44.690,5,Department,Index,GET,{}
636965,2020-03-12 14:28:44.720,5,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
636966,2020-03-12 14:28:44.753,5,Settings,GetKTOSettings,GET,{}
636967,2020-03-12 14:28:44.783,5,Pathway,Index,GET,"{""lite"":null,""applicationID"":null}"
636968,2020-03-12 14:28:45.300,5,Department,Index,GET,{}
636969,2020-03-12 14:28:45.377,5,Waypoint,Index,GET,"{""lite"":null,""basic"":true}"
636970,2020-03-12 14:28:45.377,5,BasicPathway,Exists,GET,{}
636971,2020-03-12 14:28:45.547,5,Waypoint,Index,GET,"{""lite"":null,""basic"":true}"
636972,2020-03-12 14:28:51.353,5,Criteria,Index,GET,"{""waypointId"":4}"
636973,2020-03-12 14:28:55.623,5,BasicPathway,GetPhaseWaypoint,GET,"{""waypointID"":4}"
636974,2020-03-12 14:28:55.917,5,Pathway,Index,GET,"{""lite"":true,""applicationID"":null}"
636975,2020-03-12 14:28:55.917,5,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
636976,2020-03-12 14:28:55.917,5,Notification,Index,GET,"{""actions"":[0,1,4,3],""lite"":true,""isGeneral"":null}"
636977,2020-03-12 14:28:55.937,5,Checklist,Index,GET,{}
636978,2020-03-12 14:28:56.103,5,PreceptMatrix,Index,GET,{}
636979,2020-03-12 14:28:56.103,5,FaqList,Index,GET,{}
636980,2020-03-12 14:28:56.103,5,Diary,Index,GET,{}
636981,2020-03-12 14:28:56.103,5,ContextCriteria,Index,GET,"{""type"":null,""lite"":true}"
636982,2020-03-12 14:28:56.120,5,Questionnaire,Index,GET,"{""pathwayId"":null,""type"":[]}"
636983,2020-03-12 14:28:56.120,5,CareProvider,Index,GET,"{""concept"":false,""hide"":false}"
636984,2020-03-12 14:28:56.137,5,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":null,""global"":true,""trial"":null,""lite"":null}"
636985,2020-03-12 14:28:56.197,5,PhaseWaypoint,Read,GET,"{""id"":4}"
636986,2020-03-12 14:28:56.197,5,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
636987,2020-03-12 14:28:56.277,5,Settings,GetKTOSettings,GET,{}
636988,2020-03-12 14:28:56.293,5,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":null,""notificationId"":null}"
636989,2020-03-12 14:28:56.417,5,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":4}"
636990,2020-03-12 14:28:56.450,5,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":4}"
636991,2020-03-12 14:28:56.437,5,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":4}"
636992,2020-03-12 14:28:56.450,5,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":4}"
636993,2020-03-12 14:28:56.450,5,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":4}"
636994,2020-03-12 14:28:56.497,5,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":4}"
636995,2020-03-12 14:28:56.763,5,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":4,""notificationId"":null}"
637000,2020-03-12 14:32:55.697,5,Login,AuthCheck,GET,{}
637001,2020-03-12 14:32:55.777,5,Login,AuthCheck,GET,{}
637002,2020-03-12 14:32:55.980,5,Environment,Get,GET,{}
637003,2020-03-12 14:32:55.993,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
637004,2020-03-12 14:33:44.433,5,Login,AuthCheck,GET,{}
637005,2020-03-12 14:33:44.707,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
637006,2020-03-12 14:33:46.147,5,Login,Logout,GET,{}
637008,2020-03-12 14:33:49.140,5,Organization,Index,GET,{}
637009,2020-03-12 14:33:49.160,5,Group,Index,GET,{}
637010,2020-03-12 14:33:49.160,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
637011,2020-03-12 14:33:49.233,5,Role,Index,GET,{}
637012,2020-03-12 14:33:49.233,5,User,Index,GET,{}
637013,2020-03-12 14:33:59.713,5,User,Update,POST,"{""id"":14,""model"":{""User"":{""ID"":14,""Username"":""test"",""FirstName"":null,""MiddleName"":null,""LastName"":null,""FullName"":""test"",""Active"":true,""FactorSlackUser"":null},""Roles"":[{""ID"":7,""Name"":null}],""Organizations"":[],""Groups"":[]}}"
637014,2020-03-12 14:34:00.840,5,Right,Index,GET,"{""flat"":false}"
637015,2020-03-12 14:34:00.903,5,Role,Index,GET,{}
637016,2020-03-12 14:34:15.670,5,Role,Update,POST,"{""id"":7,""model"":{""Role"":{""ID"":7,""Name"":""LUMC Beheer Basistijdlijn""},""Rights"":[{""ID"":1,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":2,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":4,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":5,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":6,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":7,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":8,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
637034,2020-03-12 14:34:31.797,5,Role,Update,POST,"{""id"":7,""model"":{""Role"":{""ID"":7,""Name"":""LUMC Beheer Basistijdlijn""},""Rights"":[{""ID"":1,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":4,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":5,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":6,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":7,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":8,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
